resourceId,sqlVerb,ref,path,operationId,respSchema
azuread.service_principals.service_principal_service_principal,select,list_service_principal,/servicePrincipals,servicePrincipals.servicePrincipal.ListServicePrincipal,servicePrincipalCollectionResponse
azuread.service_principals.service_principal_service_principal,select,get_service_principal,/servicePrincipals/{service_principal_id},servicePrincipals.servicePrincipal.GetServicePrincipal,servicePrincipal
azuread.service_principals.service_principal_service_principal,insert,create_service_principal,/servicePrincipals,servicePrincipals.servicePrincipal.CreateServicePrincipal,
azuread.service_principals.service_principal_service_principal,delete,delete_service_principal,/servicePrincipals/{service_principal_id},servicePrincipals.servicePrincipal.DeleteServicePrincipal,
azuread.service_principals.app_management_policies,select,list_app_management_policies,/servicePrincipals/{service_principal_id}/appManagementPolicies,servicePrincipals.ListAppManagementPolicies,appManagementPolicyCollectionResponse
azuread.service_principals.app_management_policies,select,get_app_management_policies,/servicePrincipals/{service_principal_id}/appManagementPolicies/{app_management_policy_id},servicePrincipals.GetAppManagementPolicies,appManagementPolicy
azuread.service_principals.app_management_policies,delete,delete_app_management_policies,/servicePrincipals/{service_principal_id}/appManagementPolicies/{app_management_policy_id},servicePrincipals.DeleteAppManagementPolicies,
azuread.service_principals.app_role_assigned_to,select,list_app_role_assigned_to,/servicePrincipals/{service_principal_id}/appRoleAssignedTo,servicePrincipals.ListAppRoleAssignedTo,appRoleAssignmentCollectionResponse
azuread.service_principals.app_role_assigned_to,select,get_app_role_assigned_to,/servicePrincipals/{service_principal_id}/appRoleAssignedTo/{app_role_assignment_id},servicePrincipals.GetAppRoleAssignedTo,appRoleAssignment
azuread.service_principals.app_role_assigned_to,insert,create_app_role_assigned_to,/servicePrincipals/{service_principal_id}/appRoleAssignedTo,servicePrincipals.CreateAppRoleAssignedTo,
azuread.service_principals.app_role_assigned_to,delete,delete_app_role_assigned_to,/servicePrincipals/{service_principal_id}/appRoleAssignedTo/{app_role_assignment_id},servicePrincipals.DeleteAppRoleAssignedTo,
azuread.service_principals.app_role_assignments,select,list_app_role_assignments,/servicePrincipals/{service_principal_id}/appRoleAssignments,servicePrincipals.ListAppRoleAssignments,appRoleAssignmentCollectionResponse
azuread.service_principals.app_role_assignments,select,get_app_role_assignments,/servicePrincipals/{service_principal_id}/appRoleAssignments/{app_role_assignment_id},servicePrincipals.GetAppRoleAssignments,appRoleAssignment
azuread.service_principals.app_role_assignments,insert,create_app_role_assignments,/servicePrincipals/{service_principal_id}/appRoleAssignments,servicePrincipals.CreateAppRoleAssignments,
azuread.service_principals.app_role_assignments,delete,delete_app_role_assignments,/servicePrincipals/{service_principal_id}/appRoleAssignments/{app_role_assignment_id},servicePrincipals.DeleteAppRoleAssignments,
azuread.service_principals.claims_mapping_policies,select,list_claims_mapping_policies,/servicePrincipals/{service_principal_id}/claimsMappingPolicies,servicePrincipals.ListClaimsMappingPolicies,claimsMappingPolicyCollectionResponse
azuread.service_principals.created_objects,select,list_created_objects,/servicePrincipals/{service_principal_id}/createdObjects,servicePrincipals.ListCreatedObjects,directoryObjectCollectionResponse
azuread.service_principals.created_objects,select,get_created_objects,/servicePrincipals/{service_principal_id}/createdObjects/{directory_object_id},servicePrincipals.GetCreatedObjects,directoryObject
azuread.service_principals.delegated_permission_classifications,select,list_delegated_permission_classifications,/servicePrincipals/{service_principal_id}/delegatedPermissionClassifications,servicePrincipals.ListDelegatedPermissionClassifications,delegatedPermissionClassificationCollectionResponse
